"distance","id","long","lat","by"
3.34793201834871,29708404932,-155.777895,58.552136,"row.names"
3.34793201834871,29708402122,-155.777895,58.552136,"row.names"
3.34793201834871,29708400362,-155.777895,58.552136,"row.names"
3.34793201834871,29708397172,-155.777895,58.552136,"row.names"
3.34793201834871,29708394552,-155.777895,58.552136,"row.names"
3.34793201834871,29708392232,-155.777895,58.552136,"row.names"
3.34793201834871,29708390022,-155.777895,58.552136,"row.names"
3.34793201834871,29708388222,-155.777895,58.552136,"row.names"
3.34793201834871,29708385732,-155.777895,58.552136,"row.names"
3.34793201834871,29785606106,-155.777895,58.552136,"row.names"
3.34793201834871,29785600676,-155.777895,58.552136,"row.names"
3.34793201834871,29785598426,-155.777895,58.552136,"row.names"
3.34793201834871,29785596706,-155.777895,58.552136,"row.names"
