geo_key,name,tot_pop_10,pc_wht_10,avg_huval,yrblt_mdn,crash,crm_prop,yrblt_mdn,pc_ov64_10,avg_stcnd,pc_un18_10,pc_fmwc_10,crm_pers,year
109,Sprecher East Neighborhood Association,2233,86.4,283763,2003,18,33,2003,6.1,6.8,23.6,31.1,3,2019
181,Monona Bay Neighborhood Association,1138,53.3,332704,1976,74,54,1976,7.5,6.3,14.7,11.3,6,2019
92,Lerdahl Park Neighborhood Association,925,80.4,359007,1966,8,19,1966,16.4,5.9,16.6,20.5,8,2019
126,Capitol Neighborhoods,13845,82.0,336289,1973,412,649,1973,5.2,6.5,1.4,1.4,170,2019
1,City of Madison,232907,75.7,297172,1976,4131,8449,1976,9.6,6.5,17.5,20.9,1353,2019
354,Cardinal Glenn Neighborhood Association,178,79.2,324600,2015,55,13,2015,2.5,7.8,22.5,34.6,0,2019
136,Regent Neighborhood Association,6421,85.3,503986,1936,75,110,1936,6.3,6.3,12.6,15.6,8,2019
167,Country Grove Neighborhood Association,917,84.7,361622,1996,2,4,1996,5.6,6.7,31.9,44.8,0,2019
176,Dudgeon-Monroe Neighborhood Association,3181,90.8,420272,1930,58,32,1930,9.2,7.2,18.5,26.7,2,2019
111,Eastmorland Community Association,3166,89.6,206905,1954,71,273,1954,14.1,6.4,16.3,19.4,16,2019
364,Elderberry Neighborhood Association,579,85.6,488350,2013,58,21,2013,18.0,7.4,29.6,36.0,0,2019
121,Elvehjem Neighborhood Association,4165,81.8,226242,1969,64,51,1969,15.2,6.2,21.9,27.3,6,2019
106,Emerson East Neighborhood Association,2042,83.9,233797,1926,147,92,1926,5.7,7.1,16.7,19.5,12,2019
142,Faircrest Neighborhood Association,1191,80.2,363413,1965,5,18,1965,15.7,7.9,19.5,25.2,0,2019
175,Greystone,283,80.8,365500,2004,1,5,2004,5.0,6.6,32.1,47.7,2,2019
500,Dunn's Marsh Neighborhood Association,2356,32.1,168392,1964,46,89,1964,4.1,5.9,34.6,39.6,25,2019
130,Wisconsin Co-op Housing Association,355,91.9,297991,1950,2,3,1950,16.2,5.7,21.2,28.3,0,2019
108,Worthington Park Neighborhood Association,701,30.7,175700,1959,19,14,1959,2.5,4.8,38.6,45.8,8,2019
352,Woodland Hills Neighborhood Association,682,81.8,354877,1985,17,5,1985,11.9,6.6,14.8,19.2,0,2019
172,Oakwood Village Association,119,98.3,"N/A""""",1975,2,4,1975,97.9,7.0,0.0,0.0,0,2019
110,North Star Neighborhood Association,2230,81.7,295557,2008,31,67,2008,21.0,7.2,22.3,27.5,3,2019
